Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,72.559998,72.959999,72.230003,72.800003,72.800003,340600
2018-07-19,71.129997,73.510002,71.050003,72.230003,72.230003,641400
2018-07-20,73.070000,73.580002,73.019997,73.430000,73.430000,367700
2018-07-23,72.480003,72.510002,71.820000,71.879997,71.879997,372300
2018-07-24,73.320000,73.519997,72.550003,72.830002,72.830002,503600
2018-07-25,72.959999,73.500000,72.800003,73.320000,73.320000,375100
2018-07-26,73.019997,73.300003,72.529999,72.599998,72.599998,455700
2018-07-27,72.860001,73.559998,72.690002,72.980003,72.980003,315900
2018-07-30,73.199997,74.059998,73.099998,73.529999,73.529999,337900
2018-07-31,74.500000,74.870003,73.779999,73.849998,73.849998,585300
2018-08-01,73.570000,73.610001,72.519997,72.650002,72.650002,574600
2018-08-02,71.639999,72.440002,71.339996,72.000000,72.000000,617500
2018-08-03,72.570000,73.690002,72.550003,72.980003,72.980003,575400
2018-08-06,71.150002,71.580002,70.570000,71.040001,71.040001,731200
2018-08-07,71.419998,71.570000,70.440002,70.519997,70.519997,481300
2018-08-08,70.580002,71.480003,70.519997,71.199997,71.199997,482400
2018-08-09,70.930000,72.559998,70.459999,71.300003,71.300003,726100
2018-08-10,69.070000,70.160004,69.019997,69.970001,69.970001,1184000
2018-08-13,68.889999,69.430000,68.510002,69.129997,69.129997,963000
2018-08-14,68.199997,68.419998,67.269997,67.339996,67.339996,883400
2018-08-15,65.040001,65.239998,63.340000,63.549999,63.549999,1240100
2018-08-16,63.779999,64.720001,62.549999,62.790001,62.790001,1063200
2018-08-17,62.720001,64.910004,62.709999,64.500000,64.500000,1340400
2018-08-20,64.629997,64.949997,64.029999,64.550003,64.550003,768900
2018-08-21,64.709999,65.320000,64.220001,65.040001,65.040001,449500
2018-08-22,65.410004,66.040001,65.129997,65.730003,65.730003,565200
2018-08-23,65.269997,65.669998,64.580002,64.860001,64.860001,536100
2018-08-24,65.309998,66.730003,65.129997,65.660004,65.660004,505400
2018-08-27,66.199997,66.470001,65.639999,66.389999,66.389999,320400
2018-08-28,67.180000,67.410004,65.059998,65.529999,65.529999,516000
2018-08-29,66.290001,66.550003,65.959999,66.160004,66.160004,391700
2018-08-30,66.050003,66.059998,65.320000,65.760002,65.760002,340400
2018-08-31,65.550003,65.989998,65.019997,65.290001,65.290001,378600
2018-09-04,63.980000,64.220001,63.450001,63.779999,63.779999,705400
2018-09-05,63.799999,64.070000,63.430000,63.549999,63.549999,410900
2018-09-06,64.010002,64.379997,62.930000,63.270000,63.270000,507000
2018-09-07,62.090000,62.610001,61.490002,62.490002,62.490002,1037500
2018-09-10,62.099998,62.150002,61.060001,61.200001,61.200001,620800
2018-09-11,60.220001,61.340000,59.900002,61.139999,61.139999,594600
2018-09-12,60.540001,62.509998,60.419998,61.540001,61.540001,789400
2018-09-13,61.970001,62.110001,60.980000,61.189999,61.189999,529100
2018-09-14,60.939999,61.529999,60.549999,60.970001,60.970001,685300
2018-09-17,61.369999,62.220001,61.180000,61.650002,61.650002,1183700
2018-09-18,62.330002,62.730000,61.880001,62.410000,62.410000,601800
2018-09-19,62.790001,63.799999,62.709999,63.439999,63.439999,536400
2018-09-20,64.690002,64.769997,63.900002,64.589996,64.589996,737400
2018-09-21,63.860001,64.559998,63.480000,63.910000,63.910000,982300
